lang,name,lnum,lon,precision,rank,feature,languages,link,time,lat,seen,type,id
ru,Новая Разводная,1,37.6177,0.01,,ru,ru,http://stats.grok.se/ru/201506/Новая Разводная,201506,55.7558,21,other,Q16017104
ru,Ангелово,2,37.3139,0.1,,ru,ru|ce,http://stats.grok.se/ru/201506/Ангелово,201506,55.8625,33,other,Q16019905
ru,Аристово (Московская область),1,37.2792,0.1,,ru,ru,http://stats.grok.se/ru/201506/Аристово (Московская область),201506,55.8944,20,adm,Q16019937
ru,Афанасовка (Московская область),1,36.8,0.01,,ru,ru,http://stats.grok.se/ru/201506/Афанасовка (Московская область),201506,55.3681,18,adm,Q16019949
ru,Афанасово (Мытищинский район),1,37.5919,0.1,,ru,ru,http://stats.grok.se/ru/201506/Афанасово (Мытищинский район),201506,55.9625,27,adm,Q16019951
ru,Белозёрово (Московская область),1,36.7972,0.1,,ru,ru,http://stats.grok.se/ru/201506/Белозёрово (Московская область),201506,55.6667,28,adm,Q16020000
ru,Большое Сареево,2,37.1847,0.1,,ru,ru|ce,http://stats.grok.se/ru/201506/Большое Сареево,201506,55.7125,26,other,Q16020051
ru,Брехово (Одинцовский район),1,36.8583,0.01,,ru,ru,http://stats.grok.se/ru/201506/Брехово (Одинцовский район),201506,55.6361,28,adm,Q16020082
ru,Бурцево (Наро-Фоминский район),1,37.0014,0.1,,ru,ru,http://stats.grok.se/ru/201506/Бурцево (Наро-Фоминский район),201506,55.5417,18,adm,Q16020102
ru,Ветка Герцена,2,36.8014,0.1,,ru,ru|ce,http://stats.grok.se/ru/201506/Ветка Герцена,201506,55.6056,10,other,Q16020166
ru,Городское поселение Солнечногорск,1,36.995,0.01,,ru,ru,http://stats.grok.se/ru/201506/Городское поселение Солнечногорск,201506,56.1844,66,other,Q16020185
ru,Городское поселение Лесной,1,37.9208,0.01,,ru,ru,http://stats.grok.se/ru/201506/Городское поселение Лесной,201506,56.085,26,other,Q16020193
ru,Городское поселение Правдинский,1,37.8683,0.01,,ru,ru,http://stats.grok.se/ru/201506/Городское поселение Правдинский,201506,56.0586,41,other,Q16020195
ru,Гольево,3,37.3097,0.01,,ru,ru|ce|uk,http://stats.grok.se/ru/201506/Гольево,201506,55.8014,43,other,Q16020335
ru,Горчухино,2,36.7486,0.1,,ru,ru|ce,http://stats.grok.se/ru/201506/Горчухино,201506,55.3458,8,other,Q16020386
ru,Горышкино (Московская область),1,37.09,0.1,,ru,ru,http://stats.grok.se/ru/201506/Горышкино (Московская область),201506,55.6639,23,adm,Q16020388
ru,Грибаново (Красногорский район),1,37.1208,0.01,,ru,ru,http://stats.grok.se/ru/201506/Грибаново (Красногорский район),201506,55.7431,32,adm,Q16020403
ru,Дачный КГБ,1,36.8264,0.1,,ru,ru,http://stats.grok.se/ru/201506/Дачный КГБ,201506,55.6569,9,other,Q16020444
ru,Дунино (Московская область),1,36.94,0.01,,ru,ru,http://stats.grok.se/ru/201506/Дунино (Московская область),201506,55.7222,40,adm,Q16020562
ru,Дьяконово (Одинцовский район),1,36.6556,0.01,,ru,ru,http://stats.grok.se/ru/201506/Дьяконово (Одинцовский район),201506,55.7,35,adm,Q16020573
ru,Елагино (Московская область),1,36.7333,0.01,,ru,ru,http://stats.grok.se/ru/201506/Елагино (Московская область),201506,55.34,17,adm,Q16020593
ru,Жёдочи,2,37.0694,0.01,,ru,ru|ce,http://stats.grok.se/ru/201506/Жёдочи,201506,55.4708,20,other,Q16020834
ru,Заречье (сельское поселение Успенское),1,37.0472,0.01,,ru,ru,http://stats.grok.se/ru/201506/Заречье (сельское поселение Успенское),201506,55.7208,15,other,Q16021074
ru,Захарково (Красногорский район),1,37.3194,0.01,,ru,ru,http://stats.grok.se/ru/201506/Захарково (Красногорский район),201506,55.7806,25,adm,Q16021083
ru,Знаменское (Одинцовский район),1,37.15,0.1,,ru,ru,http://stats.grok.se/ru/201506/Знаменское (Одинцовский район),201506,55.7361,42,adm,Q16021115
ru,Ивановка (Наро-Фоминский район),1,36.8028,0.01,,ru,ru,http://stats.grok.se/ru/201506/Ивановка (Наро-Фоминский район),201506,55.375,29,adm,Q16021131
ru,Ивановка (Одинцовский район),1,36.9389,0.01,,ru,ru,http://stats.grok.se/ru/201506/Ивановка (Одинцовский район),201506,55.7347,23,adm,Q16021133
ru,Каурцево,2,36.6514,0.01,,ru,ru|ce,http://stats.grok.se/ru/201506/Каурцево,201506,55.2903,8,other,Q16021275
ru,Кезьмино (Московская область),1,36.9111,0.01,,ru,ru,http://stats.grok.se/ru/201506/Кезьмино (Московская область),201506,55.7931,40,adm,Q16021277
ru,Клин (Одинцовский район),1,36.7528,0.1,,ru,ru,http://stats.grok.se/ru/201506/Клин (Одинцовский район),201506,55.6431,31,adm,Q16021305
ru,Кромино (Наро-Фоминский район),1,37.0708,0.1,,ru,ru,http://stats.grok.se/ru/201506/Кромино (Наро-Фоминский район),201506,55.5278,26,adm,Q16021546
ru,Крюково (Одинцовский район),1,37.1736,0.1,,ru,ru,http://stats.grok.se/ru/201506/Крюково (Одинцовский район),201506,55.6542,19,adm,Q16021566
