"","lang","name","lnum","lon","precision","rank","feature","languages","link","time","lat","seen","type","id","myRank"
"6513","ru","Первый Тверской-Ямской переулок",1,37.596944444444,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Первый Тверской-Ямской переулок",201506,55.772777777778,16,"topo","Q4349784",1
"6514","ru","Первый Троицкий переулок",1,37.620972222222,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Первый Троицкий переулок",201506,55.7765,2,"topo","Q4349787",1
"6515","ru","Первый Тульский переулок (Москва)",1,37.62333333,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Первый Тульский переулок (Москва)",201506,55.70666667,13,"topo","Q4349789",1
"6516","ru","Первый Тушинский проезд",1,37.41972222,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Первый Тушинский проезд",201506,55.83333333,5,"topo","Q4349790",1
"6517","ru","Первый Щипковский переулок",1,37.632277777778,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Первый Щипковский переулок",201506,55.722388888889,13,"topo","Q4349800",1
"6518","ru","Первый переулок Тружеников",1,37.574305555556,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Первый переулок Тружеников",201506,55.738333333333,6,"topo","Q4349880",1
"6519","ru","Переведеновский переулок",1,37.688583333333,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Переведеновский переулок",201506,55.779333333333,43,"topo","Q4350005",1
"6520","ru","Перемышль Московский",1,37.40555556,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Перемышль Московский",201506,55.36111111,65,"other","Q4350652",1
"6521","ru","Перервинский бульвар",1,37.769586111111,2.7777777777778e-06,NA,"ru","ru","http://stats.grok.se/ru/201506/Перервинский бульвар",201506,55.658511111111,40,"other","Q4350823",1
"6522","ru","Переулок Капранова",1,37.573333333333,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Переулок Капранова",201506,55.757777777778,34,"topo","Q4351086",1
"6523","ru","Переулок Маяковского (Москва)",1,37.658916666667,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Переулок Маяковского (Москва)",201506,55.738583333333,42,"topo","Q4351123",1
"6524","ru","Переулок Чернышевского (Москва)",1,37.608333333333,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Переулок Чернышевского (Москва)",201506,55.781944444444,51,"topo","Q4351175",1
"6525","ru","Переяславский переулок",1,37.636055555556,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Переяславский переулок",201506,55.787277777778,13,"topo","Q4351269",1
"6526","ru","Перово (станция)",2,37.765,0.00027777777777778,NA,"ru","ru|eo","http://stats.grok.se/ru/201506/Перово (станция)",201506,55.735555555556,131,"other","Q4351667",2
"6527","ru","Мемориальный комплекс «Штыки»",4,37.20833333,0.00027777777777778,NA,"ru","ru|eo|en|fi","http://stats.grok.se/ru/201506/Мемориальный комплекс «Штыки»",201506,56.01472222,105,"other","Q4353029",2
"6528","ru","Перхушково (Московская область)",2,37.141666666667,0.00027777777777778,NA,"ru","ru|hy","http://stats.grok.se/ru/201506/Перхушково (Московская область)",201506,55.654722222222,84,"adm","Q4359379",1
"6529","ru","Перхушково (платформа)",1,37.183444444444,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Перхушково (платформа)",201506,55.66125,57,"other","Q4359381",1
"6530","ru","Пестовское водохранилище",1,37.674963888889,2.7777777777778e-06,NA,"ru","ru","http://stats.grok.se/ru/201506/Пестовское водохранилище",201506,56.076491666667,100,"other","Q4359957",1
"6531","ru","Песчаная площадь",1,37.510230555556,2.7777777777778e-06,NA,"ru","ru","http://stats.grok.se/ru/201506/Песчаная площадь",201506,55.792927777778,28,"topo","Q4359999",1
"6532","ru","Петроверигский переулок",1,37.638333333333,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Петроверигский переулок",201506,55.756666666667,60,"topo","Q4360935",1
"6533","ru","Петровский переулок (Москва)",1,37.612222222222,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Петровский переулок (Москва)",201506,55.765277777778,57,"topo","Q4361261",1
"6534","ru","Петровско-Разумовское (бывшее село)",1,37.55,0.01,NA,"ru","ru","http://stats.grok.se/ru/201506/Петровско-Разумовское (бывшее село)",201506,55.83305556,28,"other","Q4361293",1
"6535","ru","Петровское (Щёлковский район)",1,38.226111111111,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Петровское (Щёлковский район)",201506,56.088333333333,33,"adm","Q4361393",1
"6536","ru","Петропавловская церковь (Лужки)",1,36.967833333333,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Петропавловская церковь (Лужки)",201506,55.851222222222,10,"religion","Q4361540",1
"6537","ru","Печатники",2,37.71722223,1e-04,NA,"ru","ru|uk","http://stats.grok.se/ru/201506/Печатники",201506,55.70055557,9,"other","Q4361965",1
"6538","ru","Печатников переулок",1,37.627944444444,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Печатников переулок",201506,55.767444444444,56,"topo","Q4361967",1
"6539","ru","Пешки (Московская область)",1,37.069583333333,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Пешки (Московская область)",201506,56.1295,3,"adm","Q4362183",1
"6540","ru","Пионерская (платформа)",1,37.211972222222,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Пионерская (платформа)",201506,55.66525,36,"other","Q4363135",1
"6541","ru","Писково (Истринский район)",1,36.979444444444,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Писково (Истринский район)",201506,55.787777777778,17,"adm","Q4363641",1
"6542","ru","Пласкинино",2,38.427777777778,0.00027777777777778,NA,"ru","ru|ce","http://stats.grok.se/ru/201506/Пласкинино",201506,55.540555555556,31,"other","Q4364494",1
"6543","ru","Плесенка",5,36.64314168,1e-04,NA,"ru","kk|ru|tt|ba|cv","http://stats.grok.se/ru/201506/Плесенка",201506,55.42786668,20,"other","Q4364856",1
"6544","ru","Площадь Арбатские Ворота",1,37.600555555556,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Арбатские Ворота",201506,55.753055555556,94,"topo","Q4365495",1
"6545","ru","Площадь Гагарина (платформа)",1,37.585472222222,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Гагарина (платформа)",201506,55.707333333333,120,"topo","Q4365527",2
"6546","ru","Площадь Ганецкого",2,37.5,0.00027777777777778,NA,"ru","ru|uk","http://stats.grok.se/ru/201506/Площадь Ганецкого",201506,55.820555555556,41,"topo","Q4365530",1
"6547","ru","Площадь Звёзд Эстрады",1,37.627527777778,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Звёзд Эстрады",201506,55.750166666667,76,"topo","Q4365566",1
"6548","ru","Площадь Зденека Неедлы",1,37.578111111111,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Зденека Неедлы",201506,55.792527777778,23,"topo","Q4365567",1
"6549","ru","Площадь Земляной Вал",1,37.65625,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Земляной Вал",201506,55.764166666667,32,"topo","Q4365569",1
"6550","ru","Площадь Индиры Ганди",1,37.513611111111,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Индиры Ганди",201506,55.706111111111,52,"topo","Q4365572",1
"6551","ru","Площадь Киевского Вокзала",1,37.565833333333,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Киевского Вокзала",201506,55.743611111111,48,"topo","Q4365586",1
"6552","ru","Площадь Краснопресненская Застава",1,37.562416666667,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Краснопресненская Застава",201506,55.763472222222,66,"topo","Q4365611",1
"6553","ru","Площадь Маршала Бабаджаняна",1,37.503472222222,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Маршала Бабаджаняна",201506,55.77625,35,"topo","Q4365655",1
"6554","ru","Площадь Московско-Минской Дивизии",1,37.483055555556,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Московско-Минской Дивизии",201506,55.740277777778,19,"topo","Q4365674",1
"6555","ru","Площадь Победы (Москва)",2,37.519444444444,0.00027777777777778,NA,"ru","ru|ja","http://stats.grok.se/ru/201506/Площадь Победы (Москва)",201506,55.736388888889,89,"topo","Q4365707",1
"6556","ru","Площадь Пречистенские Ворота",2,37.602194444444,2.7777777777778e-05,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Площадь Пречистенские Ворота",201506,55.744638888889,82,"topo","Q4365713",1
"6557","ru","Площадь Ромена Роллана",1,37.485555555556,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Площадь Ромена Роллана",201506,55.736666666667,25,"topo","Q4365750",1
"6558","ru","Плющево (платформа)",2,37.774416666667,2.7777777777778e-05,NA,"ru","ru|eo","http://stats.grok.se/ru/201506/Плющево (платформа)",201506,55.730666666667,77,"other","Q4365974",1
"6559","ru","Поварово-2",1,37.113333333333,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Поварово-2",201506,56.074166666667,72,"other","Q4366342",1
"6560","ru","Поварово-1",1,37.06,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Поварово-1",201506,56.078611111111,70,"other","Q4366343",1
"6561","ru","Поджигородово (Московская область)",2,36.655388888889,2.7777777777778e-06,NA,"ru","ru|ce","http://stats.grok.se/ru/201506/Поджигородово (Московская область)",201506,56.118116666667,2,"adm","Q4367554",1
"6562","ru","Подлипки-Дачные",2,37.816861111111,2.7777777777778e-05,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Подлипки-Дачные",201506,55.925472222222,86,"other","Q4367812",1
"6563","ru","Подсолнечная (станция)",1,36.971944444444,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Подсолнечная (станция)",201506,56.184444444444,78,"other","Q4368310",1
"6564","ru","Пожар в школе села Эльбарусово",2,37.6,0.015940971776072,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Пожар в школе села Эльбарусово",201506,55.7,45,"other","Q4368610",1
"6565","ru","Пожитково (станция)",1,36.805194444444,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Пожитково (станция)",201506,55.440027777778,20,"other","Q4368735",1
"6566","ru","Покров (Подольский район)",1,37.627727777778,2.7777777777778e-06,NA,"ru","ru","http://stats.grok.se/ru/201506/Покров (Подольский район)",201506,55.446138888889,29,"adm","Q4369155",1
"6567","ru","Покровский собор (РДЦ)",1,37.634166666667,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Покровский собор (РДЦ)",201506,55.7325,47,"religion","Q4369374",1
"6568","ru","Полевшина",3,36.858333333333,0.00027777777777778,NA,"ru","ru|hy|ce","http://stats.grok.se/ru/201506/Полевшина",201506,55.964722222222,13,"other","Q4369686",1
"6569","ru","Поливаново",1,37.39815,2.7777777777778e-06,NA,"ru","ru","http://stats.grok.se/ru/201506/Поливаново",201506,55.454277777778,22,"other","Q4369883",1
"6570","ru","Полоцкая улица (Москва)",1,37.424166666667,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Полоцкая улица (Москва)",201506,55.729722222222,23,"topo","Q4370718",1
"6571","ru","Поречная улица",1,37.761111111111,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Поречная улица",201506,55.647222222222,17,"topo","Q4372993",1
"6572","ru","Портновская (платформа)",1,36.744277777778,2.7777777777778e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Портновская (платформа)",201506,55.588722222222,33,"other","Q4373280",1
"6573","ru","Посольство Абхазии в России",2,37.59841667,1e-05,NA,"ru","ru|ko","http://stats.grok.se/ru/201506/Посольство Абхазии в России",201506,55.76597222,35,"other","Q4373960",1
"6574","ru","Посольство Армении в Москве",1,37.63483333,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Армении в Москве",201506,55.76063889,11,"other","Q4373965",1
"6575","ru","Посольство Бельгии в Москве",2,37.59243583,2.77777777778e-06,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Посольство Бельгии в Москве",201506,55.75372683,5,"other","Q4373974",1
"6576","ru","Посольство Болгарии в Москве",2,37.51025,1e-05,NA,"ru","ru|bg","http://stats.grok.se/ru/201506/Посольство Болгарии в Москве",201506,55.71361111,5,"other","Q4373976",1
"6577","ru","Посольство Гватемалы в Москве",1,37.61633333,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Гватемалы в Москве",201506,55.72875,1,"other","Q4373987",1
"6578","ru","Посольство Гвинеи в Москве",1,37.61633333,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Гвинеи в Москве",201506,55.72875,4,"other","Q4373988",1
"6579","ru","Посольство Дании в Москве",2,37.59222222,0.00027777777777778,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Посольство Дании в Москве",201506,55.74361111,9,"other","Q4373993",1
"6580","ru","Посольство Иордании в Москве",1,37.59748333,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Иордании в Москве",201506,55.76593889,5,"other","Q4373998",1
"6581","ru","Посольство Камеруна в Москве",2,37.58972222,0.00027777777777778,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Посольство Камеруна в Москве",201506,55.75638889,9,"other","Q4374009",1
"6582","ru","Посольство Люксембурга в Москве",1,37.59663889,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Люксембурга в Москве",201506,55.74383333,2,"other","Q4374017",1
"6583","ru","Посольство Латвии в Москве",2,37.6465,2.777777777778e-05,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Посольство Латвии в Москве",201506,55.764,3,"other","Q4374018",1
"6584","ru","Посольство Мальты в Москве",1,37.61633333,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Мальты в Москве",201506,55.72875,4,"other","Q4374020",1
"6585","ru","Посольство Намибии в Москве",1,37.62216667,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Намибии в Москве",201506,55.73361111,3,"other","Q4374026",1
"6586","ru","Посольство Нидерландов в Москве",1,37.60211111,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Нидерландов в Москве",201506,55.75455556,4,"other","Q4374029",1
"6587","ru","Посольство Пакистана в Москве",2,37.588216,2.77777777778e-06,NA,"ru","ru|de","http://stats.grok.se/ru/201506/Посольство Пакистана в Москве",201506,55.764696,0,"other","Q4374032",1
"6588","ru","Посольство Новой Зеландии в Москве",2,37.58888889,0.00027777777777778,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Посольство Новой Зеландии в Москве",201506,55.75694444,5,"other","Q4374034",1
"6589","ru","Посольство Таиланда в Москве",1,37.63930556,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Таиланда в Москве",201506,55.77352778,7,"other","Q4374059",1
"6590","ru","Посольство Хорватии в Москве",2,37.59916667,0.00027777777777778,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Посольство Хорватии в Москве",201506,55.73861111,2,"other","Q4374080",1
"6591","ru","Посольство Черногории в Москве",1,37.616,0.001,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Черногории в Москве",201506,55.72758333,5,"other","Q4374082",1
"6592","ru","Посольство Чили в Москве",1,37.58744444,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Чили в Москве",201506,55.74375,1,"other","Q4374084",1
"6593","ru","Посольство Шри-Ланки в Москве",1,37.62930556,1e-05,NA,"ru","ru","http://stats.grok.se/ru/201506/Посольство Шри-Ланки в Москве",201506,55.77786111,3,"other","Q4374087",1
"6594","ru","Посольство Эстонии в Москве",2,37.602219,2.77777777778e-06,NA,"ru","ru|en","http://stats.grok.se/ru/201506/Посольство Эстонии в Москве",201506,55.75545,11,"other","Q4374095",1
"6595","ru","Посёлок Аверкиевского лесничества",1,38.631980555556,2.7777777777778e-06,NA,"ru","ru","http://stats.grok.se/ru/201506/Посёлок Аверкиевского лесничества",201506,55.642575,21,"adm","Q4374406",1
"6596","ru","Посёлок Биокомбината",1,38.105833333333,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Посёлок Биокомбината",201506,55.916944444444,84,"adm","Q4374411",1
"6597","ru","Посёлок Дома Отдыха МПС «Берёзка»",1,37.325555555556,0.00027777777777778,NA,"ru","ru","http://stats.grok.se/ru/201506/Посёлок Дома Отдыха МПС «Берёзка»",201506,55.670277777778,9,"adm","Q4374423",1
"6598","ru","Посёлок Дома отдыха «Горки»",1,37.346069444444,2.7777777777778e-06,NA,"ru","ru","http://stats.grok.se/ru/201506/Посёлок Дома отдыха «Горки»",201506,56.193405555556,15,"adm","Q4374424",1
"6599","ru","Посёлок Загорье",1,37.6735,0.01,NA,"ru","ru","http://stats.grok.se/ru/201506/Посёлок Загорье",201506,55.5801,22,"adm","Q4374427",1
"6600","ru","Посёлок Изваринской школы",2,37.260833333333,0.00027777777777778,NA,"ru","ru|ce","http://stats.grok.se/ru/201506/Посёлок Изваринской школы",201506,55.623888888889,11,"adm","Q4374428",1
